[PC OTA BACKEND] connecting MQTT broker 192.168.137.1:1883
[PC OTA BACKEND] packages_dir=C:\Users\gkqls\OneDrive\문서\오토에버 프로젝트3\PC\packages
[PC OTA BACKEND] artifact URL base=http://192.168.137.1:8080/packages
[PC OTA BACKEND] HTTP API running on 0.0.0.0:8080
[PC OTA BACKEND] MQTT connected
 * Serving Flask app 'pc_ota_backend'
[PC OTA BACKEND] subscribed OTA status/result/version/heartbeat topics
 * Debug mode: off
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/heartbeat, payload={"client_id": "hpvc-ota-agent", "status": "online", "timestamp": 1782659264.434938}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/heartbeat, payload={"client_id": "hpvc-ota-agent", "status": "online", "timestamp": 1782659266.4354196}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/heartbeat, payload={"client_id": "hpvc-ota-agent", "status": "online", "timestamp": 1782659268.435908}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/heartbeat, payload={"client_id": "hpvc-ota-agent", "status": "online", "timestamp": 1782659270.4364045}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/heartbeat, payload={"client_id": "hpvc-ota-agent", "status": "online", "timestamp": 1782659272.4368846}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/heartbeat, payload={"client_id": "hpvc-ota-agent", "status": "online", "timestamp": 1782659274.4373653}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/status, payload={"state": "ROLLBACK", "progress": 85, "running": true, "error_code": "OTA_FAILED", "error_message": "FOTA failed: {'result': 'FAILED', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 1019050, 'crc32': '473E1838', 'status': 'OK', 'artifact_path': '/home/pi/hpvc_runtime/updates/staging/ota-rear_zone-20260629-000358/ota-rear_zone-20260629-000358_rear_zone_2.0.31.bin', 'artifact_size': 1019050, 'artifact_sha256': '2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da', 'artifact_crc32': '473E1838', 'validated': True, 'phase': 'post_update_alive_check', 'prepare_result': {'result': 'SUCCESS', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 0, 'crc32': '00000000', 'status': 'OK', 'validated': True, 'phase': 'bootloader_prepare'}, 'ready_result': {'result': 'READY'}, 'post_update_alive_results': [{'result': 'FAILED', 'reason': 'target port not ready: timed out', 'probe_index': 1}], 'reason': 'target port not ready: timed out'}", "current_job": {"job_id": "ota-rear_zone-20260629-000358", "target": "REAR_ZONE", "target_version": "2.0.31", "artifact_url": "http://192.168.137.1:8080/packages/rear_zone_2.0.31.bin", "sha256": "2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da", "size": 1019050, "rollback_enabled": true}, "last_result": null}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/status, payload={"state": "FAILED", "progress": 85, "running": true, "error_code": "OTA_FAILED", "error_message": "FOTA failed: {'result': 'FAILED', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 1019050, 'crc32': '473E1838', 'status': 'OK', 'artifact_path': '/home/pi/hpvc_runtime/updates/staging/ota-rear_zone-20260629-000358/ota-rear_zone-20260629-000358_rear_zone_2.0.31.bin', 'artifact_size': 1019050, 'artifact_sha256': '2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da', 'artifact_crc32': '473E1838', 'validated': True, 'phase': 'post_update_alive_check', 'prepare_result': {'result': 'SUCCESS', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 0, 'crc32': '00000000', 'status': 'OK', 'validated': True, 'phase': 'bootloader_prepare'}, 'ready_result': {'result': 'READY'}, 'post_update_alive_results': [{'result': 'FAILED', 'reason': 'target port not ready: timed out', 'probe_index': 1}], 'reason': 'target port not ready: timed out'}", "current_job": {"job_id": "ota-rear_zone-20260629-000358", "target": "REAR_ZONE", "target_version": "2.0.31", "artifact_url": "http://192.168.137.1:8080/packages/rear_zone_2.0.31.bin", "sha256": "2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da", "size": 1019050, "rollback_enabled": true}, "last_result": null}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/status, payload={"result": "FAILED", "job_id": "ota-rear_zone-20260629-000358", "target": "REAR_ZONE", "target_version": "2.0.31", "error_code": "OTA_FAILED", "error_message": "FOTA failed: {'result': 'FAILED', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 1019050, 'crc32': '473E1838', 'status': 'OK', 'artifact_path': '/home/pi/hpvc_runtime/updates/staging/ota-rear_zone-20260629-000358/ota-rear_zone-20260629-000358_rear_zone_2.0.31.bin', 'artifact_size': 1019050, 'artifact_sha256': '2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da', 'artifact_crc32': '473E1838', 'validated': True, 'phase': 'post_update_alive_check', 'prepare_result': {'result': 'SUCCESS', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 0, 'crc32': '00000000', 'status': 'OK', 'validated': True, 'phase': 'bootloader_prepare'}, 'ready_result': {'result': 'READY'}, 'post_update_alive_results': [{'result': 'FAILED', 'reason': 'target port not ready: timed out', 'probe_index': 1}], 'reason': 'target port not ready: timed out'}", "fota_result": {"result": "FAILED", "target": "REAR_ZONE", "target_version": "2.0.31", "job_id": "ota-rear_zone-20260629-000358", "bytes_received": 1019050, "crc32": "473E1838", "status": "OK", "artifact_path": "/home/pi/hpvc_runtime/updates/staging/ota-rear_zone-20260629-000358/ota-rear_zone-20260629-000358_rear_zone_2.0.31.bin", "artifact_size": 1019050, "artifact_sha256": "2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da", "artifact_crc32": "473E1838", "validated": true, "phase": "post_update_alive_check", "prepare_result": {"result": "SUCCESS", "target": "REAR_ZONE", "target_version": "2.0.31", "job_id": "ota-rear_zone-20260629-000358", "bytes_received": 0, "crc32": "00000000", "status": "OK", "validated": true, "phase": "bootloader_prepare"}, "ready_result": {"result": "READY"}, "post_update_alive_results": [{"result": "FAILED", "reason": "target port not ready: timed out", "probe_index": 1}], "reason": "target port not ready: timed out"}}
[PC OTA BACKEND] MQTT RX topic=hpvc/ota/result, payload={"result": "FAILED", "job_id": "ota-rear_zone-20260629-000358", "target": "REAR_ZONE", "target_version": "2.0.31", "error_code": "OTA_FAILED", "error_message": "FOTA failed: {'result': 'FAILED', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 1019050, 'crc32': '473E1838', 'status': 'OK', 'artifact_path': '/home/pi/hpvc_runtime/updates/staging/ota-rear_zone-20260629-000358/ota-rear_zone-20260629-000358_rear_zone_2.0.31.bin', 'artifact_size': 1019050, 'artifact_sha256': '2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da', 'artifact_crc32': '473E1838', 'validated': True, 'phase': 'post_update_alive_check', 'prepare_result': {'result': 'SUCCESS', 'target': 'REAR_ZONE', 'target_version': '2.0.31', 'job_id': 'ota-rear_zone-20260629-000358', 'bytes_received': 0, 'crc32': '00000000', 'status': 'OK', 'validated': True, 'phase': 'bootloader_prepare'}, 'ready_result': {'result': 'READY'}, 'post_update_alive_results': [{'result': 'FAILED', 'reason': 'target port not ready: timed out', 'probe_index': 1}], 'reason': 'target port not ready: timed out'}", "fota_result": {"result": "FAILED", "target": "REAR_ZONE", "target_version": "2.0.31", "job_id": "ota-rear_zone-20260629-000358", "bytes_received": 1019050, "crc32": "473E1838", "status": "OK", "artifact_path": "/home/pi/hpvc_runtime/updates/staging/ota-rear_zone-20260629-000358/ota-rear_zone-20260629-000358_rear_zone_2.0.31.bin", "artifact_size": 1019050, "artifact_sha256": "2a43125b000cd347e93a8691dc4abf358285ca1f04b0cac7684a8969f506c4da", "artifact_crc32": "473E1838", "validated": true, "phase": "post_update_alive_check", "prepare_result": {"result": "SUCCESS", "target": "REAR_ZONE", "target_version": "2.0.31", "job_id": "ota-rear_zone-20260629-000358", "bytes_received": 0, "crc32": "00000000", "status": "OK", "validated": true, "phase": "bootloader_prepare"}, "ready_result": {"result": "READY"}, "post_update_alive_results": [{"result": "FAILED", "reason": "target port not ready: timed out", "probe_index": 1}], "reason": "target port not ready: timed out"}}
